segment,customer_name,product_code,plant,sales_qty,total_profit,unit_profit,margin_rate,profit_contribution,cumulative_profit,cumulative_percentage
electronics,Customer_J,P006,A,2878.0,41792474.08,14521.36,0.2393657854864083,0.625527033406637,4597237039.21,68.80894491911216
others,Customer_H,P015,B,4984.0,40736076.08000001,8173.370000000003,0.190250900686407,0.6097154424065021,4637973115.29,69.41866036151866
industrial,Customer_A,P020,A,7605.0,39705020.55000003,5220.9100000000035,0.1201977610821642,0.5942831637210187,4677678135.84,70.01294352523968
others,Customer_H,P016,A,4895.0,39594382.29999999,8088.739999999998,0.1556454997920344,0.5926271905385901,4717272518.14,70.60557071577827
electronics,Customer_C,P006,B,2528.0,39238427.839999996,15521.529999999999,0.233863614317342,0.5872994576801468,4756510945.9800005,71.19287017345842
industrial,Customer_J,P017,A,6239.0,38788549.29000001,6217.110000000001,0.0960379342300703,0.5805659201002445,4795299495.27,71.77343609355866
others,Customer_I,P017,A,2199.0,38438080.2,17479.800000000003,0.1866602312393213,0.5753202892780832,4833737575.47,72.34875638283674
industrial,Customer_I,P002,B,3961.0,37752053.34000001,9530.940000000002,0.0996126960204355,0.5650522121656437,4871489628.81,72.91380859500238
electronics,Customer_G,P002,A,2377.0,37626816.580000006,15829.54,0.2452366867482331,0.5631777364213674,4909116445.39,73.47698633142376
others,Customer_I,P020,B,1827.0,37025561.79000001,20265.770000000004,0.2292404113600538,0.5541784815701162,4946142007.18,74.03116481299386
electronics,Customer_I,P014,B,4278.0,36884359.860000014,8621.870000000003,0.1893292700093466,0.5520650478400356,4983026367.04,74.5832298608339
electronics,Customer_D,P016,B,2638.0,36159883.779999994,13707.309999999998,0.1521209048433297,0.5412214837038469,5019186250.82,75.12445134453775
oil_gas,Customer_G,P005,B,1123.0,36124080.04000001,32167.480000000003,0.4934873475411594,0.5406855927866405,5055310330.86,75.66513693732439
industrial,Customer_D,P011,B,3326.0,35921664.75999998,10800.259999999995,0.1256779364874958,0.5376559509096793,5091231995.62,76.20279288823406
industrial,Customer_G,P010,B,6401.0,34749492.76000001,5428.760000000002,0.0958365178352996,0.520111517612939,5125981488.38,76.722904405847
electronics,Customer_I,P005,B,2786.0,34703641.84,12456.440000000002,0.1987592920975804,0.5194252459671955,5160685130.22,77.2423296518142
industrial,Customer_I,P008,A,7089.0,34499327.39999999,4866.5999999999985,0.1134115707766061,0.5163671784957484,5195184457.62,77.75869683030994
electronics,Customer_F,P013,A,3402.0,34441711.919999994,10123.96,0.1835680049942232,0.5155048213112058,5229626169.54,78.27420165162115
oil_gas,Customer_C,P003,B,951.0,34374807.96,36145.96,0.4953537604125022,0.514503439207293,5264000977.5,78.78870509082844
others,Customer_B,P008,A,4078.0,34232281.639999986,8394.379999999997,0.1724400199951239,0.512370182727638,5298233259.14,79.3010752735561
electronics,Customer_A,P009,A,2772.0,32812940.159999996,11837.279999999999,0.2315994842478888,0.4911262510169701,5331046199.3,79.79220152457306
electronics,Customer_D,P004,A,2538.0,32747534.82,12902.89,0.2448923819328625,0.490147299442559,5363793734.12,80.28234882401561
oil_gas,Customer_J,P016,B,752.0,32417028.0,43107.75,0.496862046501877,0.48520045302615605,5396210762.12,80.76754927704177
oil_gas,Customer_E,P013,B,740.0,32406405.6,43792.44,0.4592858112405533,0.48504146271735216,5428617167.72,81.25259073975913
oil_gas,Customer_A,P020,A,1236.0,32212743.24,26062.09,0.5142784744307879,0.4821428297888149,5460829910.96,81.73473356954794
electronics,Customer_G,P009,B,3635.0,30458937.249999996,8379.349999999999,0.1741345376934886,0.4558928151092463,5491288848.21,82.19062638465718
oil_gas,Customer_G,P006,B,648.0,30378939.84,46881.08,0.5219971144622212,0.4546954573634061,5521667788.05,82.64532184202059
electronics,Customer_H,P016,A,2427.0,30184089.330000002,12436.79,0.2026954905295156,0.4517790408515538,5551851877.38,83.09710088287214
oil_gas,Customer_D,P018,A,889.0,29963069.36,33704.24,0.4555489040700132,0.4484709340882864,5581814946.74,83.54557181696043
industrial,Customer_F,P007,B,5086.0,29472454.520000037,5794.820000000007,0.0775185551872695,0.44112767786413976,5611287401.26,83.98669949482458
others,Customer_H,P019,B,1678.0,29355183.69999999,17494.149999999994,0.2003154277423907,0.4393724319794532,5640642584.96,84.42607192680403
electronics,Customer_G,P007,B,1916.0,29090474.719999995,15182.919999999998,0.2162624112796939,0.4354104118640962,5669733059.68,84.86148233866813
oil_gas,Customer_H,P007,B,747.0,28649713.41,38353.03,0.4728753819037393,0.42881333617633116,5698382773.09,85.29029567484446
industrial,Customer_E,P006,B,4573.0,28053708.72,6134.639999999999,0.1101213035749759,0.41989266196789615,5726436481.81,85.71018833681235
industrial,Customer_A,P009,B,7274.0,26911181.359999996,3699.6399999999994,0.0768277971995014,0.40279193352768317,5753347663.17,86.11298027034003
industrial,Customer_E,P008,B,6167.0,26718897.519999985,4332.559999999998,0.0729878550999371,0.39991393353713456,5780066560.690001,86.51289420387718
industrial,Customer_F,P016,A,2590.0,26698263.900000017,10308.210000000006,0.1185191872950657,0.3996051007295264,5806764824.59,86.9124993046067
oil_gas,Customer_F,P009,A,693.0,26171172.72,37765.04,0.4872656821997475,0.3917158864770014,5832935997.31,87.3042151910837
industrial,Customer_G,P004,A,2402.0,25689341.95999999,10694.979999999996,0.114544100996668,0.38450410558721904,5858625339.27,87.68871929667093
others,Customer_A,P014,B,1667.0,25498665.38,15296.14,0.1638561495928012,0.3816501621906352,5884124004.650001,88.07036945886155
oil_gas,Customer_I,P009,B,610.0,24817825.599999998,40684.96,0.5125083705254518,0.3714597224719099,5908941830.250001,88.44182918133347
oil_gas,Customer_C,P010,A,744.0,24647217.119999997,33127.979999999996,0.5480681663570027,0.36890614748699446,5933589047.370001,88.81073532882047
oil_gas,Customer_I,P011,B,706.0,24464573.220000003,34652.37,0.4838635456056677,0.36617243287804074,5958053620.590001,89.17690776169852
industrial,Customer_C,P014,A,8802.0,24462342.360000003,2779.1800000000003,0.0532583041855176,0.36613904257826874,5982515962.950001,89.54304680427677
electronics,Customer_J,P007,A,1165.0,24449959.849999998,20987.089999999997,0.2412004273454053,0.36595370789979037,6006965922.800001,89.90900051217658
industrial,Customer_G,P011,A,4830.0,24020314.500000007,4973.1500000000015,0.0762765105073812,0.3595230098586073,6030986237.300001,90.26852352203518
oil_gas,Customer_I,P002,A,550.0,23624078.5,42952.87,0.546314286160207,0.35359236480671435,6054610315.800001,90.6221158868419
electronics,Customer_C,P014,A,1502.0,22736464.919999998,15137.46,0.2184368467208806,0.340307047252984,6077346780.720001,90.96242293409487
electronics,Customer_F,P017,B,1644.0,22704988.08,13810.82,0.225317184702122,0.3398359190228504,6100051768.800001,91.30225885311772
electronics,Customer_H,P011,B,2607.0,22222094.070000004,8524.010000000002,0.2027162355531416,0.3326082239850568,6122273862.870001,91.63486707710278
others,Customer_D,P009,B,1175.0,21805826.249999993,18558.149999999994,0.2132508097288085,0.3263777535408133,6144079689.120001,91.9612448306436
industrial,Customer_I,P012,B,5003.0,21798821.450000007,4357.1500000000015,0.0923947117556754,0.32627290950226195,6165878510.570001,92.28751774014586
industrial,Customer_F,P013,B,4428.0,21798246.959999997,4922.82,0.1106276888371495,0.3262643108482378,6187676757.530001,92.61378205099409
others,Customer_I,P004,B,1438.0,20988041.400000006,14595.300000000003,0.1812067212189219,0.31413759445843464,6208664798.93,92.92791964545252
electronics,Customer_E,P008,B,1492.0,20526563.0,13757.75,0.2358080448527726,0.3072304366294755,6229191361.93,93.235150082082
industrial,Customer_D,P017,B,3255.0,20080876.19999999,6169.239999999998,0.0936493431452747,0.30055963888491416,6249272238.13,93.5357097209669
electronics,Customer_E,P013,B,2679.0,18746463.239999995,6997.559999999998,0.1511514790903805,0.2805868710939874,6268018701.37,93.8162965920609
industrial,Customer_J,P016,B,4262.0,18525379.679999996,4346.639999999999,0.1013935422565052,0.2772778125501679,6286544081.05,94.09357440461106
electronics,Customer_F,P010,A,1302.0,18387768.419999998,14122.71,0.2280873066978129,0.275218122016739,6304931849.47,94.3687925266278
industrial,Customer_E,P015,A,2151.0,17782876.25999999,8267.259999999995,0.0847081319390378,0.26616442498862236,6322714725.7300005,94.63495695161642
electronics,Customer_A,P002,B,1197.0,17774396.639999993,14849.119999999995,0.1712365293223094,0.2660375066460313,6340489122.370001,94.90099445826246
electronics,Customer_B,P018,B,1289.0,17072469.860000007,13244.740000000005,0.1575554368604743,0.2555314481743175,6357561592.2300005,95.15652590643677
industrial,Customer_D,P005,A,3636.0,16291497.960000003,4480.610000000001,0.1114663721890989,0.243842285315813,6373853090.190001,95.40036819175259
others,Customer_B,P006,B,1660.0,16072153.199999996,9682.019999999997,0.2261573501806162,0.24055925218517202,6389925243.39,95.64092744393776
industrial,Customer_E,P004,B,4856.0,15985709.199999986,3291.949999999997,0.0777741195016614,0.23926540538461405,6405910952.59,95.88019284932237
oil_gas,Customer_A,P017,B,722.0,15272343.260000002,21152.83,0.4808882110240619,0.22858813178441165,6421183295.85,96.10878098110679
industrial,Customer_D,P001,A,2145.0,14203053.150000002,6621.470000000001,0.1102109674484153,0.2125835786900198,6435386349.0,96.32136455979679
others,Customer_H,P019,A,1146.0,14160296.879999999,12356.279999999999,0.2151574786071148,0.2119436260832074,6449546645.88,96.53330818588
electronics,Customer_I,P015,B,1658.0,12591996.020000003,7594.690000000002,0.1799690091701177,0.188470151347852,6462138641.900001,96.72177833722787
electronics,Customer_B,P008,A,1493.0,12020829.78,8051.459999999999,0.1929233001702627,0.17992124555669656,6474159471.68,96.90169958278456
others,Customer_E,P005,B,737.0,11738375.879999999,15927.239999999998,0.2347488924382811,0.17569362912501735,6485897847.56,97.07739321190958
industrial,Customer_B,P019,B,3281.0,11161994.810000006,3402.010000000002,0.072548381981872,0.16706667059323285,6497059842.370001,97.24445988250282
others,Customer_G,P001,A,851.0,10541762.5,12387.5,0.1856194390238435,0.15778337053890762,6507601604.870001,97.40224325304172
others,Customer_A,P003,A,862.0,10330888.98,11984.79,0.1935559113655668,0.15462713032357325,6517932493.85,97.5568703833653
industrial,Customer_D,P010,A,976.0,10303866.240000006,10557.240000000005,0.1209943921198565,0.15422266864096604,6528236360.09,97.71109305200626
oil_gas,Customer_D,P014,A,381.0,10199263.32,26769.72,0.5062926287504019,0.15265702899713868,6538435623.41,97.86375008100339
industrial,Customer_F,P018,B,4340.0,9990506.399999997,2301.959999999999,0.0514577460521239,0.14953246890000868,6548426129.809999,98.0132825499034
others,Customer_E,P013,A,1359.0,9981963.720000003,7345.080000000002,0.1784778142921009,0.14940460670961742,6558408093.53,98.16268715661302
oil_gas,Customer_J,P010,B,212.0,9947924.04,46924.17,0.4916665801009659,0.1488951192835379,6568356017.57,98.31158227589654
oil_gas,Customer_G,P006,A,216.0,9895143.6,45810.85,0.5430592442045177,0.1481051303493605,6578251161.17,98.45968740624592
others,Customer_C,P010,B,623.0,9081277.870000001,14576.690000000002,0.2051177136564509,0.13592363052468617,6587332439.04,98.5956110367706
oil_gas,Customer_F,P015,A,420.0,8923887.0,21247.35,0.4992680078441773,0.13356788954108392,6596256326.04,98.72917892631169
industrial,Customer_G,P015,B,2904.0,8795664.239999993,3028.8099999999977,0.0536243207817635,0.13164872097201377,6605051990.28,98.8608276472837
industrial,Customer_D,P003,B,1848.0,8370331.200000003,4529.4000000000015,0.100807818288154,0.12528256724271483,6613422321.48,98.9861102145264
industrial,Customer_A,P020,B,2175.0,8340885.749999999,3834.8899999999994,0.0641951635023778,0.1248418437538262,6621763207.23,99.11095205828023
industrial,Customer_G,P005,B,1166.0,8105927.060000004,6951.9100000000035,0.1261987267189687,0.12132510980676513,6629869134.29,99.232277168087
oil_gas,Customer_C,P018,B,358.0,8049365.079999999,22484.26,0.5046405418733085,0.12047852083753392,6637918499.37,99.35275568892453
others,Customer_G,P011,B,517.0,7378122.51,14271.029999999999,0.1825149634136869,0.11043172694099161,6645296621.88,99.46318741586553
industrial,Customer_B,P014,B,1517.0,6378438.879999999,4204.639999999999,0.0578267328520801,0.09546900580076764,6651675060.76,99.5586564216663
oil_gas,Customer_C,P004,A,183.0,6285892.62,34349.14,0.5256823837339979,0.09408382368975253,6657960953.38,99.65274024535606
electronics,Customer_H,P012,B,280.0,5727190.0,20454.25,0.2463892224530555,0.08572146658746356,6663688143.38,99.73846171194351
oil_gas,Customer_A,P014,B,135.0,5427481.95,40203.57,0.4878777416624452,0.08123559941803687,6669115625.33,99.81969731136155
others,Customer_A,P007,A,202.0,3988934.3999999994,19747.199999999997,0.2000466362111955,0.05970420169213593,6673104559.73,99.87940151305368
oil_gas,Customer_B,P011,A,103.0,3176067.83,30835.61,0.547011873174234,0.047537656751192627,6676280627.559999,99.92693916980487
others,Customer_C,P008,B,274.0,3113856.5600000005,11364.440000000002,0.1801648410121508,0.04660651228022718,6679394484.12,99.9735456820851
industrial,Customer_G,P002,A,514.0,1767455.8199999987,3438.6299999999974,0.0841688543525639,0.026454317914884593,6681161939.94,99.99999999999999
